./vl805-000137ad.bin:     file format binary
Disassembly of section .data:
0x7ffffff8 <.data>:
0x7ffffff8:	0d 08             	ld r13,(r0)
0x8000ebc6:	00 4e             	bmask r0,r0
0x8000ebc8:	84 ce             	*unknown*
0x8000ebca:	00 00             	bkpt
0x8000ebcc:	a8 b0 60 08       	eor r8,2144
0x8000ebd0:	a4 e7             	*unknown*
0x8000ebd2:	3f ff d4 04 30 00 	v32subsc H(19,0)+r6,V(0,36++)+r14,H(48++,0)* REP r0 IFNC MAX r4
0x8000ebd8:	a4 63 3f ff 
0x8000ebdc:	d4 05             	ld r4,(sp+0x74)
0x8000ebde:	38 00             	swi gp
0x8000ebe0:	a8 90 60 0c       	bl 0x805104a0
0x8000ebe4:	84 a2 ff fc       	ldb r4,(pc+1279)
0x8000ebe8:	d4 04             	ld r4,(sp+0x34)
0x8000ebea:	18 00             	*unknown*
0x8000ebec:	a4 65             	mul r4,0x1a
0x8000ebee:	00 08             	ld r0,(r0)
0x8000ebf0:	bc 03             	stm r6-r2,lr,(--sp)
0x8000ebf2:	00 00             	bkpt
0x8000ebf4:	13 ff ff 86 18 60 	v32addc HX(27,0)+r0,-,H(24++,0)+r0* REP8 IFNC MAX r4
0x8000ebfa:	01 00 03 ff 
0x8000ebfe:	ff be             	*unknown*
0x8000ec00:	18 80 01 00       	addcmpbeq r8,r1,r0,0x8000ec02
0x8000ec04:	85 21             	ld r5,(r8+0x4)
0x8000ec06:	00 00             	bkpt
0x8000ec08:	84 41             	cmn r4,r8
0x8000ec0a:	00 04             	ld r0,(sp)
0x8000ec0c:	85 81 00 08       	addcmpbne r5,r8,r2,0x8000ec0c
0x8000ec10:	85 c1 00 0c       	btest.hi.m r1,r0
0x8000ec14:	86 01             	*unknown*
0x8000ec16:	00 10             	lea r0,(sp+0x0)
0x8000ec18:	86 41             	cmn r6,r8
0x8000ec1a:	00 14             	lea r0,(sp+0x80)
0x8000ec1c:	44 00             	b r4
0x8000ec1e:	48 00             	b r8
0x8000ec20:	9c 21             	ld r12,(r9+0x4)
0x8000ec22:	00 4c             	btest r0,r0
0x8000ec24:	9c 21             	ld r12,(r9+0x4)
0x8000ec26:	ff f4 d4 01 10 04 	v16testmag H(7,0),H(0,32)+r7,0x10
0x8000ec2c:	9c 41             	cmn r12,r9
0x8000ec2e:	00 0c             	ldb r0,(r0)
0x8000ec30:	d4 01             	swi 0x14
0x8000ec32:	48 00             	b r8
0x8000ec34:	d4 01             	swi 0x14
0x8000ec36:	60 08             	ld r0,(r6)
0x8000ec38:	a9 83 00 00       	addcmpbcc r9,r10,r0,0x8000ec38
0x8000ec3c:	07 ff d2 95 9c 60 	v32add VX(16,7)+r1,H(38,32)+r4,H(28,16)+r7 REP r0 IFNZ
0x8000ec42:	00 11 9c 60 
0x8000ec46:	ff fd e0 8b 18 03 	vop63.0 HX(47++,0)*,HX(0,7)+r12,HY(24++,0)+r4 REP r0 IFN max2 r3
0x8000ec4c:	07 ff d2 94 
0x8000ec50:	9c 60             	mov r12,0x9
0x8000ec52:	00 11             	lea r0,(sp+0x20)
0x8000ec54:	18 a0 0f ff       	ld gp,(pc+r15<<2)
0x8000ec58:	9c 60             	mov r12,0x9
0x8000ec5a:	50 00             	b r16
0x8000ec5c:	a8 a5             	*unknown*
0x8000ec5e:	ff ff e0 8c 28 03 	vop63.1 HX(51,0)+r10,HX(0,8)+r0*,HY(40,0)+r8 REP r0
0x8000ec64:	18 a0 60 00 
0x8000ec68:	07 ff d2 8d e0 84 	v32add HX(55,0)+r0*,H(40++,40)+r0,28896 REP r0 IFN
0x8000ec6e:	28 04 9c 80 
0x8000ec72:	00 00             	bkpt
0x8000ec74:	07 ff d2 8a 9c 60 	v32add HX(43,0)+r0,H(38,32)+r5*,H(28++,16)+r1* REP r0 IFNC MAX r4
0x8000ec7a:	50 01 07 ff 
0x8000ec7e:	d2 85 9c 60       	addcmpbpl r2,-3,r8,0x8000edb6
0x8000ec82:	00 11             	lea r0,(sp+0x20)
0x8000ec84:	9c 60             	mov r12,0x9
0x8000ec86:	00 11             	lea r0,(sp+0x20)
0x8000ec88:	07 ff d2 85 a8 8b 	v32add HX(23,0)+r0,H(40,32)+r8,r7+168 REP r0 SETF IFNZ
0x8000ec8e:	00 02 9d 60 
0x8000ec92:	00 00             	bkpt
0x8000ec94:	85 21             	ld r5,(r8+0x4)
0x8000ec96:	00 00             	bkpt
0x8000ec98:	84 41             	cmn r4,r8
0x8000ec9a:	00 04             	ld r0,(sp)
0x8000ec9c:	85 81 00 08       	addcmpbne r5,r8,r2,0x8000ec9c
0x8000eca0:	44 00             	b r4
0x8000eca2:	48 00             	b r8
0x8000eca4:	9c 21             	ld r12,(r9+0x4)
0x8000eca6:	00 0c             	ldb r0,(r0)
0x8000eca8:	9c 21             	ld r12,(r9+0x4)
0x8000ecaa:	ff fc d4 01 10 00 	v16testmag H(7,0)+r4,V(0,44)+r6*,H(16,0)+r0 REP r0
0x8000ecb0:	9c 41 00 04 
0x8000ecb4:	18 80 00 01       	addcmpbeq r8,r1,r0,0x8000eeb4
0x8000ecb8:	a8 84 39 d0       	addcmpbmi r8,-6,0x10,0x8000ed2a
0x8000ecbc:	18 a0             	*unknown*
0x8000ecbe:	20 00             	swi r0
0x8000ecc0:	84 84 00 00       	addcmpbmi r4,r8,r0,0x8000ecc0
0x8000ecc4:	e0 84 28 03       	addcmpbmi r0,r14,r0,0x8000eb14
0x8000ecc8:	bc 24             	ld r12,(r11+0x10)
0x8000ecca:	00 00             	bkpt
0x8000eccc:	10 00             	*unknown*
0x8000ecce:	00 10             	lea r0,(sp+0x0)
0x8000ecd0:	9c c0 ff f0       	mul.ne r28,sr,-1
0x8000ecd4:	84 a3 00 04       	ldb r4,(r0+-1024)
0x8000ecd8:	e0 85 30 03       	addcmpbpl r0,r14,r0,0x8000eb38
0x8000ecdc:	bc 24             	ld r12,(r11+0x10)
0x8000ecde:	00 00             	bkpt
0x8000ece0:	10 00             	*unknown*
0x8000ece2:	00 0b             	sth r0,(r0)
0x8000ece4:	18 80 01 00       	addcmpbeq r8,r1,r0,0x8000ece6
0x8000ece8:	84 63             	add r4,0x18
0x8000ecea:	00 00             	bkpt
0x8000ecec:	a8 c4 d0 00       	div.ne.su r8,r0,16
0x8000ecf0:	a8 e4             	*unknown*
0x8000ecf2:	d0 04             	ld r0,(sp+0x34)
0x8000ecf4:	a4 a5 00 0f       	stb r4,(r1++)
0x8000ecf8:	d4 06             	st r4,(sp+0x34)
0x8000ecfa:	18 00             	*unknown*
0x8000ecfc:	a8 64             	mul r8,0xa
0x8000ecfe:	d0 08             	ld r0,(r13)
0x8000ed00:	9c 80 00 01       	addcmpbeq r12,r9,r0,0x8000ef00
0x8000ed04:	d4 07             	st r4,(sp+0x74)
0x8000ed06:	28 00             	swi r8
0x8000ed08:	d8 03             	stm r16-r8,lr,(--sp)
0x8000ed0a:	20 00             	swi r0
0x8000ed0c:	84 41             	cmn r4,r8
0x8000ed0e:	00 00             	bkpt
0x8000ed10:	44 00             	b r4
0x8000ed12:	48 00             	b r8
0x8000ed14:	9c 21             	ld r12,(r9+0x4)
0x8000ed16:	00 04             	ld r0,(sp)
0x8000ed18:	9c 21             	ld r12,(r9+0x4)
0x8000ed1a:	ff fc d4 01 10 00 	v16testmag H(7,0)+r4,V(0,44)+r6*,H(16,0)+r0 REP r0
0x8000ed20:	9c 41 00 04 
0x8000ed24:	18 80 00 01       	addcmpbeq r8,r1,r0,0x8000ef24
0x8000ed28:	a8 84 39 d0       	addcmpbmi r8,-6,0x10,0x8000ed9a
0x8000ed2c:	18 a0             	*unknown*
0x8000ed2e:	20 00             	swi r0
0x8000ed30:	84 84 00 00       	addcmpbmi r4,r8,r0,0x8000ed30
0x8000ed34:	e0 84 28 03       	addcmpbmi r0,r14,r0,0x8000eb84
0x8000ed38:	bc 24             	ld r12,(r11+0x10)
0x8000ed3a:	00 00             	bkpt
0x8000ed3c:	10 00             	*unknown*
0x8000ed3e:	00 2b             	ld r0,(r0+0x2c)
0x8000ed40:	9d 63             	add r13,0x19
0x8000ed42:	00 04             	ld r0,(sp)
0x8000ed44:	9c c0 ff f0       	mul.ne r28,sr,-1
0x8000ed48:	84 8b 00 00       	addcmpblt r4,r8,r0,0x8000ed48
0x8000ed4c:	e0 a4             	*unknown*
0x8000ed4e:	30 03             	ldm r6-r22,pc,(sp++)
0x8000ed50:	bc 25             	ld r12,(r11+0x14)
0x8000ed52:	00 00             	bkpt
0x8000ed54:	10 00             	*unknown*
0x8000ed56:	00 25             	ld r0,(r0+0x14)
0x8000ed58:	9c c0 ff c0       	mul.ne r28,gp,-1
0x8000ed5c:	84 83 00 00       	addcmpbcc r4,r8,r0,0x8000ed5c
0x8000ed60:	19 a0 01 00       	ld.eq sp,(r0+r1<<2)
0x8000ed64:	e0 84 30 03       	addcmpbmi r0,r14,r0,0x8000ebc4
0x8000ed68:	9e 20             	ld r14,(r9+0x0)
0x8000ed6a:	00 01             	*unknown*
0x8000ed6c:	d4 03             	stm r16-r4,lr,(--sp)
0x8000ed6e:	20 00             	swi r0
0x8000ed70:	a8 ed d0 18 84 8b 	add r8,r13,0x8b8418d0
0x8000ed76:	00 00             	bkpt
0x8000ed78:	aa 6d             	btest r10,0x1a
0x8000ed7a:	d0 10             	lea r16,(sp+0x18)
0x8000ed7c:	a4 84 00 0f       	addcmpbmi r4,r10,r3,0x8000eb7c
0x8000ed80:	a9 ed d0 14 d4 0b 	add r9,r13,0xbd414d0
0x8000ed86:	20 00             	swi r0
0x8000ed88:	a9 05             	ld r9,(sp+0x68)
0x8000ed8a:	00 00             	bkpt
0x8000ed8c:	aa b1 00 00       	or r10,0
0x8000ed90:	84 c3 00 00       	shl.eq r4,r0,r0
0x8000ed94:	a9 b1 00 00       	or r9,0
0x8000ed98:	e0 c6 40 00       	sub.eq r0,r0,0
0x8000ed9c:	a8 b5 00 00       	add r8,r13,0
0x8000eda0:	d4 03             	stm r16-r4,lr,(--sp)
0x8000eda2:	30 00             	swi r16
0x8000eda4:	d4 13             	lea r20,(sp+0x78)
0x8000eda6:	30 00             	swi r16
0x8000eda8:	84 8b 00 00       	addcmpblt r4,r8,r0,0x8000eda8
0x8000edac:	d4 0f             	ldsb r4,(r13)
0x8000edae:	20 00             	swi r0
0x8000edb0:	d8 07             	st r8,(sp+0x74)
0x8000edb2:	68 00             	bl r8
0x8000edb4:	00 00             	bkpt
0x8000edb6:	00 04             	ld r0,(sp)
0x8000edb8:	15 00             	*unknown*
0x8000edba:	00 00             	bkpt
0x8000edbc:	10 00             	*unknown*
0x8000edbe:	00 07             	st r0,(sp+0x40)
0x8000edc0:	9c a5 00 01       	ldb.cs r28,(r0++)
0x8000edc4:	84 87 00 00       	addcmpbvc r4,r8,r0,0x8000edc4
0x8000edc8:	a4 84 00 01       	addcmpbmi r4,r10,r0,0x8000efc8
0x8000edcc:	bc 04             	ld r12,(sp+0x2c)
0x8000edce:	00 00             	bkpt
0x8000edd0:	0f ff ff fb bc 05 	v32adds -,-,30140 REP r0 UACC
0x8000edd6:	10 00 9d 08 
0x8000edda:	00 10             	lea r0,(sp+0x0)
0x8000eddc:	bc 28             	ld r12,(r11+0x20)
0x8000edde:	00 40             	mov r0,r0
0x8000ede0:	13 ff ff ef e0 c6 	v32addc -,-,4832 REP8 IFZ
0x8000ede6:	40 00 84 41 
0x8000edea:	00 00             	bkpt
0x8000edec:	44 00             	b r4
0x8000edee:	48 00             	b r8
0x8000edf0:	9c 21             	ld r12,(r9+0x4)
0x8000edf2:	00 04             	ld r0,(sp)
0x8000edf4:	9c 21             	ld r12,(r9+0x4)
0x8000edf6:	ff fc d4 01 10 00 	v16testmag H(7,0)+r4,V(0,44)+r6*,H(16,0)+r0 REP r0
0x8000edfc:	9c 41 00 04 
0x8000ee00:	18 80 00 01       	addcmpbeq r8,r1,r0,0x8000f000
0x8000ee04:	a8 84 39 d0       	addcmpbmi r8,-6,0x10,0x8000ee76
0x8000ee08:	18 a0             	*unknown*
0x8000ee0a:	20 00             	swi r0
0x8000ee0c:	84 84 00 00       	addcmpbmi r4,r8,r0,0x8000ee0c
0x8000ee10:	e0 84 28 03       	addcmpbmi r0,r14,r0,0x8000ec60
0x8000ee14:	bc 24             	ld r12,(r11+0x10)
0x8000ee16:	00 00             	bkpt
0x8000ee18:	10 00             	*unknown*
0x8000ee1a:	00 10             	lea r0,(sp+0x0)
0x8000ee1c:	9c c0 ff f0       	mul.ne r28,sr,-1
0x8000ee20:	84 a3 00 04       	ldb r4,(r0+-1024)
0x8000ee24:	e0 85 30 03       	addcmpbpl r0,r14,r0,0x8000ec84
0x8000ee28:	bc 24             	ld r12,(r11+0x10)
0x8000ee2a:	00 00             	bkpt
0x8000ee2c:	10 00             	*unknown*
0x8000ee2e:	00 0b             	sth r0,(r0)
0x8000ee30:	18 80 01 00       	addcmpbeq r8,r1,r0,0x8000ee32
0x8000ee34:	84 63             	add r4,0x18
0x8000ee36:	00 00             	bkpt
0x8000ee38:	a8 c4 d0 20       	div.ne.su r8,r4,16
0x8000ee3c:	a8 e4             	*unknown*
0x8000ee3e:	d0 24             	ld r0,(r13+0x10)
0x8000ee40:	a4 a5 00 0f       	stb r4,(r1++)
0x8000ee44:	d4 06             	st r4,(sp+0x34)
0x8000ee46:	18 00             	*unknown*
0x8000ee48:	a8 64             	mul r8,0xa
0x8000ee4a:	d0 28             	ld r0,(r13+0x20)
0x8000ee4c:	9c 80 00 01       	addcmpbeq r12,r9,r0,0x8000f04c
0x8000ee50:	d4 07             	st r4,(sp+0x74)
0x8000ee52:	28 00             	swi r8
0x8000ee54:	d8 03             	stm r16-r8,lr,(--sp)
0x8000ee56:	20 00             	swi r0
0x8000ee58:	84 41             	cmn r4,r8
0x8000ee5a:	00 00             	bkpt
0x8000ee5c:	44 00             	b r4
0x8000ee5e:	48 00             	b r8
0x8000ee60:	9c 21             	ld r12,(r9+0x4)
0x8000ee62:	00 04             	ld r0,(sp)
0x8000ee64:	9c 21             	ld r12,(r9+0x4)
0x8000ee66:	ff fc d4 01 10 00 	v16testmag H(7,0)+r4,V(0,44)+r6*,H(16,0)+r0 REP r0
0x8000ee6c:	9c 41 00 04 
0x8000ee70:	18 60             	mov r8,0x1
0x8000ee72:	00 01             	*unknown*
0x8000ee74:	a8 63             	add r8,0x1a
0x8000ee76:	39 d0             	*unknown*
0x8000ee78:	18 80 20 00       	addcmpbeq r8,r1,r0,0x8000eeb8
0x8000ee7c:	84 63             	add r4,0x18
0x8000ee7e:	00 00             	bkpt
0x8000ee80:	e0 63             	add r0,0x1e
0x8000ee82:	20 03             	ldm r6,pc,(sp++)
0x8000ee84:	bc 23             	ld r12,(r11+0xc)
0x8000ee86:	00 00             	bkpt
0x8000ee88:	10 00             	*unknown*
0x8000ee8a:	00 0f             	ldsb r0,(r0)
0x8000ee8c:	18 60             	mov r8,0x1
0x8000ee8e:	01 00             	nop
0x8000ee90:	9c a0 01 00       	ldb.eq r28,(r0+r1)
0x8000ee94:	a8 63             	add r8,0x1a
0x8000ee96:	d0 28             	ld r0,(r13+0x20)
0x8000ee98:	9c 80 00 01       	addcmpbeq r12,r9,r0,0x8000f098
0x8000ee9c:	dc 03             	stm r16-r12,lr,(--sp)
0x8000ee9e:	28 00             	swi r8
0x8000eea0:	00 00             	bkpt
0x8000eea2:	00 04             	ld r0,(sp)
0x8000eea4:	a8 a3 00 00       	stb r8,(r0+-2048)
0x8000eea8:	10 00             	*unknown*
0x8000eeaa:	00 07             	st r0,(sp+0x40)
0x8000eeac:	9c 84 00 01       	addcmpbmi r12,r9,r0,0x8000f0ac
0x8000eeb0:	84 65             	mul r4,0x18
0x8000eeb2:	00 00             	bkpt
0x8000eeb4:	a4 63             	add r4,0x1a
0x8000eeb6:	01 00             	nop
0x8000eeb8:	bc 03             	stm r6-r2,lr,(--sp)
0x8000eeba:	00 00             	bkpt
0x8000eebc:	0f ff ff fb bc 04 	v32adds -,-,4284 REP r0 IFZ
0x8000eec2:	10 00 84 41 
0x8000eec6:	00 00             	bkpt
0x8000eec8:	44 00             	b r4
0x8000eeca:	48 00             	b r8
0x8000eecc:	9c 21             	ld r12,(r9+0x4)
0x8000eece:	00 04             	ld r0,(sp)
0x8000eed0:	9c 21             	ld r12,(r9+0x4)
0x8000eed2:	ff fc d4 01 10 00 	v16testmag H(7,0)+r4,V(0,44)+r6*,H(16,0)+r0 REP r0
0x8000eed8:	9c 41 00 04 
0x8000eedc:	18 80 00 01       	addcmpbeq r8,r1,r0,0x8000f0dc
0x8000eee0:	a8 84 39 d0       	addcmpbmi r8,-6,0x10,0x8000ef52
0x8000eee4:	18 a0             	*unknown*
0x8000eee6:	20 00             	swi r0
0x8000eee8:	84 84 00 00       	addcmpbmi r4,r8,r0,0x8000eee8
0x8000eeec:	e0 84 28 03       	addcmpbmi r0,r14,r0,0x8000ed3c
0x8000eef0:	bc 24             	ld r12,(r11+0x10)
0x8000eef2:	00 00             	bkpt
0x8000eef4:	10 00             	*unknown*
0x8000eef6:	00 20             	ld r0,(r0+0x0)
0x8000eef8:	9c c0 ff f0       	mul.ne r28,sr,-1
0x8000eefc:	84 a3 00 04       	ldb r4,(r0+-1024)
0x8000ef00:	e0 85 30 03       	addcmpbpl r0,r14,r0,0x8000ed60
0x8000ef04:	bc 24             	ld r12,(r11+0x10)
0x8000ef06:	00 00             	bkpt
0x8000ef08:	10 00             	*unknown*
0x8000ef0a:	00 1b             	bvs 0x8000ef0a
0x8000ef0c:	18 80 01 00       	addcmpbeq r8,r1,r0,0x8000ef0e
0x8000ef10:	84 63             	add r4,0x18
0x8000ef12:	00 00             	bkpt
0x8000ef14:	a8 c4 d0 30       	div.ne.su r8,r6,16
0x8000ef18:	a4 a5 00 0f       	stb r4,(r1++)
0x8000ef1c:	a8 e4             	*unknown*
0x8000ef1e:	d0 34             	st r0,(r13+0x10)
0x8000ef20:	d4 06             	st r4,(sp+0x34)
0x8000ef22:	18 00             	*unknown*
0x8000ef24:	d4 07             	st r4,(sp+0x74)
0x8000ef26:	28 00             	swi r8
0x8000ef28:	a8 64             	mul r8,0xa
0x8000ef2a:	d0 38             	st r0,(r13+0x20)
0x8000ef2c:	9c a0 00 01       	ldb.cs r28,(r0+r0)
0x8000ef30:	a8 e4             	*unknown*
0x8000ef32:	d0 18             	bne 0x8000eed2
0x8000ef34:	d8 03             	stm r16-r8,lr,(--sp)
0x8000ef36:	28 00             	swi r8
0x8000ef38:	a8 c4 d0 08       	div.ne.su r8,r1,16
0x8000ef3c:	00 00             	bkpt
0x8000ef3e:	00 05             	ld r0,(sp+0x40)
0x8000ef40:	9c a0 00 01       	ldb.cs r28,(r0+r0)
0x8000ef44:	bc 05             	ld r12,(sp+0x6c)
0x8000ef46:	10 00             	*unknown*
0x8000ef48:	10 00             	*unknown*
0x8000ef4a:	00 0b             	sth r0,(r0)
0x8000ef4c:	9c a5 00 01       	ldb.cs r28,(r0++)
0x8000ef50:	84 86 00 00       	addcmpbvs r4,r8,r0,0x8000ef50
0x8000ef54:	84 67             	sub r4,0x18
0x8000ef56:	00 00             	bkpt
0x8000ef58:	a4 84 01 00       	addcmpbmi r4,r10,r0,0x8000ef5a
0x8000ef5c:	bc 24             	ld r12,(r11+0x10)
0x8000ef5e:	00 00             	bkpt
0x8000ef60:	13 ff ff f9 a4 63 	v32addc -,-,r15+36 REP8
0x8000ef66:	00 01 bc 03 
0x8000ef6a:	00 00             	bkpt
0x8000ef6c:	0f ff ff f7 bc 05 	v32adds -,-,4540 REP r0 IFZ
0x8000ef72:	10 00 84 41 
0x8000ef76:	00 00             	bkpt
0x8000ef78:	44 00             	b r4
0x8000ef7a:	48 00             	b r8
0x8000ef7c:	9c 21             	ld r12,(r9+0x4)
0x8000ef7e:	00 04             	ld r0,(sp)
0x8000ef80:	9c 21             	ld r12,(r9+0x4)
0x8000ef82:	ff f8 d4 01 10 04 	vunkmem07 H(7,0)+r4,V(0,44)+r6*,16 REP r0 UADD
0x8000ef88:	9c 41 00 08 
0x8000ef8c:	d4 01             	swi 0x14
0x8000ef8e:	48 00             	b r8
0x8000ef90:	18 60             	mov r8,0x1
0x8000ef92:	00 01             	*unknown*
0x8000ef94:	a8 63             	add r8,0x1a
0x8000ef96:	39 d0             	*unknown*
0x8000ef98:	18 80 20 00       	addcmpbeq r8,r1,r0,0x8000efd8
0x8000ef9c:	84 63             	add r4,0x18
0x8000ef9e:	00 00             	bkpt
0x8000efa0:	e0 63             	add r0,0x1e
0x8000efa2:	20 03             	ldm r6,pc,(sp++)
0x8000efa4:	bc 23             	ld r12,(r11+0xc)
0x8000efa6:	00 00             	bkpt
0x8000efa8:	10 00             	*unknown*
0x8000efaa:	00 0d             	stb r0,(r0)
0x8000efac:	a4 a5 00 ff       	stb r4,(pc++)
0x8000efb0:	bc 25             	ld r12,(r11+0x14)
0x8000efb2:	00 00             	bkpt
0x8000efb4:	10 00             	*unknown*
0x8000efb6:	00 06             	st r0,(sp)
0x8000efb8:	15 00             	*unknown*
0x8000efba:	00 00             	bkpt
0x8000efbc:	07 ff d7 89 15 00 	v32add HX(39,0)+r0,V(48,32)+r0,H(21,0)+r0 REP r0
0x8000efc2:	00 00 00 00 
0x8000efc6:	00 06             	st r0,(sp)
0x8000efc8:	15 00             	*unknown*
0x8000efca:	00 00             	bkpt
0x8000efcc:	07 ff ff a6 15 00 	v32add HX(27,32)+r0,-,H(21++,0)+r0* REP r0 IFNC MAX r4
0x8000efd2:	00 00 03 ff 
0x8000efd6:	ff fa 15 00 00 00 	vunkmem23 H(0,0)+r2,V(16,37)+r6,H(0,0)+r0 REP r0
0x8000efdc:	85 21 00 00 
0x8000efe0:	84 41             	cmn r4,r8
0x8000efe2:	00 04             	ld r0,(sp)
0x8000efe4:	44 00             	b r4
0x8000efe6:	48 00             	b r8
0x8000efe8:	9c 21             	ld r12,(r9+0x4)
0x8000efea:	00 08             	ld r0,(r0)
0x8000efec:	9c 21             	ld r12,(r9+0x4)
0x8000efee:	ff fc d4 01 10 00 	v16testmag H(7,0)+r4,V(0,44)+r6*,H(16,0)+r0 REP r0
0x8000eff4:	9c 41 00 04 
0x8000eff8:	a4 e7             	*unknown*
0x8000effa:	00 ff bc 07 00 00 	v32add H(30,0)+r0,-,H(0,0)+r0
0x8000f000:	10 00 00 07 
0x8000f004:	a4 c6 00 ff       	subscale r4,pc,r0<<5
0x8000f008:	18 e0             	*unknown*
0x8000f00a:	80 00             	switch r0
0x8000f00c:	e0 a5             	*unknown*
0x8000f00e:	38 04             	ld r8,(sp+0xc)
0x8000f010:	18 e0             	*unknown*
0x8000f012:	03 00             	user
0x8000f014:	a8 e7             	*unknown*
0x8000f016:	00 14             	lea r0,(sp+0x80)
0x8000f018:	d4 07             	st r4,(sp+0x74)
0x8000f01a:	28 00             	swi r8
0x8000f01c:	18 a0 10 00       	ld.eq gp,(r0+r16<<2)
0x8000f020:	b8 84 00 42       	addcmpbmi r8,-5,r0,0x8000ec20
0x8000f024:	a8 e5             	*unknown*
0x8000f026:	00 10             	lea r0,(sp+0x0)
0x8000f028:	a9 05             	ld r9,(sp+0x68)
0x8000f02a:	00 14             	lea r0,(sp+0x80)
0x8000f02c:	d4 07             	st r4,(sp+0x74)
0x8000f02e:	18 00             	*unknown*
0x8000f030:	a8 a5 00 18       	stb.eq r8,(r3++)
0x8000f034:	d4 08             	ld r4,(r13)
0x8000f036:	20 00             	swi r0
0x8000f038:	a8 66             	sub r8,0xa
0x8000f03a:	01 00             	nop
0x8000f03c:	d4 05             	ld r4,(sp+0x74)
0x8000f03e:	30 00             	swi r16
0x8000f040:	d4 05             	ld r4,(sp+0x74)
0x8000f042:	18 00             	*unknown*
0x8000f044:	a8 85 00 00       	addcmpbpl r8,r10,r0,0x8000f044
0x8000f048:	84 64             	mul r4,0x8
0x8000f04a:	00 00             	bkpt
0x8000f04c:	18 a0 00 01       	ld.cs gp,(r0+r0<<2)
0x8000f050:	e0 63             	add r0,0x1e
0x8000f052:	28 03             	ldm r6-r14,pc,(sp++)
0x8000f054:	bc 03             	stm r6-r2,lr,(--sp)
0x8000f056:	00 00             	bkpt
0x8000f058:	13 ff ff fc 15 00 	v32addc -,-,H(21,0)+r5 REP8
0x8000f05e:	00 00 d4 04 
0x8000f062:	28 00             	swi r8
0x8000f064:	84 41             	cmn r4,r8
0x8000f066:	00 00             	bkpt
0x8000f068:	44 00             	b r4
0x8000f06a:	48 00             	b r8
0x8000f06c:	9c 21             	ld r12,(r9+0x4)
0x8000f06e:	00 04             	ld r0,(sp)
0x8000f070:	9c 21             	ld r12,(r9+0x4)
0x8000f072:	fe 84 d4 01       	addcmpbmi r14,r15,r0,0x8000f41a
0x8000f076:	10 04             	ld r0,(sp+0x4)
0x8000f078:	9c 41             	cmn r12,r9
0x8000f07a:	01 7c             	shl r1,0x0
0x8000f07c:	d4 01             	swi 0x14
0x8000f07e:	48 00             	b r8
0x8000f080:	d4 01             	swi 0x14
0x8000f082:	60 08             	ld r0,(r6)
0x8000f084:	d4 01             	swi 0x14
0x8000f086:	70 0c             	ldb r0,(r7)
0x8000f088:	d4 01             	swi 0x14
0x8000f08a:	80 10             	lea r0,(sp+0x10)
0x8000f08c:	d4 01             	swi 0x14
0x8000f08e:	90 14             	lea r16,(sp+0x90)
0x8000f090:	d4 01             	swi 0x14
0x8000f092:	a0 18             	bne 0x8000f0d2
0x8000f094:	d4 01             	swi 0x14
0x8000f096:	b0 1c             	bls 0x8000f0f6
0x8000f098:	d4 01             	swi 0x14
0x8000f09a:	c0 20             	ld r0,(r12+0x0)
0x8000f09c:	d4 01             	swi 0x14
0x8000f09e:	d0 24             	ld r0,(r13+0x10)
0x8000f0a0:	d4 01             	swi 0x14
0x8000f0a2:	e0 28             	ld r0,(r14+0x20)
0x8000f0a4:	d4 01             	swi 0x14
0x8000f0a6:	f0 2c             	ld r0,(r15+0x30)
0x8000f0a8:	9d 82 ff 78       	addcmpbcs r13,-7,r14,0x8000f2a6
0x8000f0ac:	9c 80 00 00       	addcmpbeq r12,r9,r0,0x8000f0ac
0x8000f0b0:	a8 6c             	btest r8,0xa
0x8000f0b2:	00 00             	bkpt
0x8000f0b4:	9c a0 00 80       	ldb.eq r28,(r16+r0)
0x8000f0b8:	04 00             	ei
0x8000f0ba:	03 90 a9 cc       	beq 0x80088a0c
0x8000f0be:	00 00             	bkpt
0x8000f0c0:	a4 6c             	btest r4,0xa
0x8000f0c2:	00 3f             	st r0,(r0+0x3c)
0x8000f0c4:	bc 23             	ld r12,(r11+0xc)
0x8000f0c6:	00 00             	bkpt
0x8000f0c8:	0c 00             	*unknown*
0x8000f0ca:	00 06             	st r0,(sp)
0x8000f0cc:	18 80 01 00       	addcmpbeq r8,r1,r0,0x8000f0ce
0x8000f0d0:	9c 80 ff c0       	addcmpbeq r12,-7,0x0,0x8000f0ce
0x8000f0d4:	e0 6c             	btest r0,0xe
0x8000f0d6:	20 03             	ldm r6,pc,(sp++)
0x8000f0d8:	9d c3 00 40       	shl.eq r29,r8,r0
0x8000f0dc:	18 80 01 00       	addcmpbeq r8,r1,r0,0x8000f0de
0x8000f0e0:	9c c0 ff c0       	mul.ne r28,gp,-1
0x8000f0e4:	a8 64             	mul r8,0xa
0x8000f0e6:	30 50             	bitset r0,r3
0x8000f0e8:	a8 84 30 54       	addcmpbmi r8,-6,r5,0x8000f148
0x8000f0ec:	84 63             	add r4,0x18
0x8000f0ee:	00 00             	bkpt
0x8000f0f0:	9c a0 00 02       	ldb.mi r28,(r0+r0)
0x8000f0f4:	e0 63             	add r0,0x1e
0x8000f0f6:	30 03             	ldm r6-r22,pc,(sp++)
